epoch,decoder_acc,decoder_loss,encoder_acc,encoder_loss,loss,val_decoder_acc,val_decoder_loss,val_encoder_acc,val_encoder_loss,val_loss
0,0.787024851,7.10E-05,0.7477,0.234033577,0.234104595,0.803570666,3.36E-05,0.9841,0.024479669,0.024513314
1,0.804320345,3.31E-05,0.985466667,0.022156094,0.022189199,0.802984695,3.28E-05,0.9869,0.017467484,0.017500253
2,0.805204912,3.21E-05,0.989716667,0.01569133,0.015723419,0.804066325,3.13E-05,0.9903,0.015265054,0.015296362
3,0.803581441,3.02E-05,0.992383333,0.011953118,0.011983282,0.799773086,2.90E-05,0.9911,0.012174069,0.012203108
4,0.799028401,2.84E-05,0.994483333,0.009136258,0.009164665,0.797402425,2.78E-05,0.9922,0.010218477,0.010246282
5,0.797057357,2.76E-05,0.99585,0.007133788,0.007161425,0.796674873,2.73E-05,0.9932,0.009542606,0.009569895
6,0.796144983,2.73E-05,0.996833333,0.005516265,0.005543549,0.79565255,2.70E-05,0.9928,0.008784077,0.008811071
7,0.795435586,2.71E-05,0.997816667,0.004195971,0.004223059,0.795324876,2.69E-05,0.9927,0.009054945,0.009081819
8,0.794976211,2.70E-05,0.998566667,0.003325718,0.003352693,0.794524997,2.67E-05,0.9928,0.007724861,0.007751606
9,0.79457602,2.69E-05,0.999033333,0.002418358,0.002445266,0.793769387,2.67E-05,0.9936,0.007364449,0.007391123
10,0.79425761,2.69E-05,0.999366667,0.001770282,0.001797148,0.794311861,2.66E-05,0.9933,0.007273675,0.007300322
11,0.794074597,2.68E-05,0.999633333,0.001336113,0.001362953,0.7943861,2.66E-05,0.9928,0.006951521,0.006978149
12,0.794003744,2.68E-05,0.999716667,0.001018241,0.001045062,0.793359567,2.66E-05,0.9929,0.007323746,0.007350322
13,0.793824214,2.68E-05,0.999783333,0.000742267,0.000769074,0.793888902,2.66E-05,0.9934,0.006736072,0.006762653
14,0.793783227,2.68E-05,0.999866667,0.000550105,0.0005769,0.793978315,2.66E-05,0.9934,0.006844091,0.006870655
15,0.793718367,2.68E-05,0.999916667,0.0004059,0.000432686,0.793801021,2.66E-05,0.9942,0.00694136,0.006967922
16,0.793744769,2.68E-05,0.999916667,0.000324069,0.000350846,0.793514794,2.65E-05,0.9932,0.006510022,0.006536564
17,0.793686309,2.68E-05,0.999933333,0.000215069,0.000241841,0.794123598,2.66E-05,0.9937,0.0064172,0.006443755
18,0.793718005,2.68E-05,0.999933333,0.000166102,0.00019287,0.793660077,2.65E-05,0.9938,0.006576237,0.006602769
19,0.793654038,2.68E-05,0.99995,0.000125101,0.000151865,0.793806884,2.65E-05,0.9935,0.006468902,0.006495433
20,0.793690285,2.68E-05,0.999983333,0.000106276,0.000133036,0.79356097,2.65E-05,0.9934,0.006495181,0.006521706
21,0.793631825,2.68E-05,0.999983333,8.08E-05,0.000107598,0.793634307,2.65E-05,0.9939,0.006274461,0.00630099
22,0.793634864,2.68E-05,1,7.83E-05,0.000105045,0.79372717,2.65E-05,0.9933,0.006541445,0.006567966
23,0.793652678,2.68E-05,1,4.70E-05,7.37E-05,0.793815174,2.65E-05,0.9938,0.00647501,0.006501538
24,0.79370725,2.68E-05,1,3.01E-05,5.69E-05,0.793522958,2.65E-05,0.9933,0.006366723,0.006393238
25,0.793642263,2.67E-05,1,2.00E-05,4.68E-05,0.793369259,2.65E-05,0.9941,0.00635279,0.006379302
26,0.793614817,2.67E-05,1,1.66E-05,4.34E-05,0.79356709,2.65E-05,0.9938,0.006346732,0.006373245
27,0.793591646,2.67E-05,1,1.25E-05,3.93E-05,0.793852173,2.65E-05,0.9936,0.006490451,0.00651697
28,0.793635013,2.67E-05,1,9.30E-06,3.60E-05,0.793691968,2.65E-05,0.9935,0.006399659,0.006426175
29,0.79369713,2.67E-05,1,7.16E-06,3.39E-05,0.793416964,2.65E-05,0.9939,0.006516798,0.006543304
30,0.793583822,2.67E-05,1,5.57E-06,3.23E-05,0.793535715,2.65E-05,0.9936,0.00644237,0.006468879
31,0.79363006,2.67E-05,1,5.85E-06,3.26E-05,0.793523722,2.65E-05,0.9938,0.00644437,0.006470878
32,0.793611076,2.67E-05,1,4.69E-06,3.14E-05,0.793475762,2.65E-05,0.9936,0.006507355,0.006533861
33,0.793645493,2.67E-05,1,3.27E-06,3.00E-05,0.793441962,2.65E-05,0.9935,0.006510449,0.006536955
34,0.793604676,2.67E-05,1,3.11E-06,2.99E-05,0.793496811,2.65E-05,0.9936,0.006488106,0.006514613
35,0.793618922,2.67E-05,1,2.36E-06,2.91E-05,0.793372451,2.65E-05,0.9935,0.006516225,0.006542732
36,0.793576638,2.67E-05,1,1.68E-06,2.84E-05,0.793519517,2.65E-05,0.9933,0.006516913,0.006543419
37,0.793605315,2.67E-05,1,1.42E-06,2.82E-05,0.793515304,2.65E-05,0.9935,0.006543309,0.006569812
38,0.79361552,2.67E-05,1,1.19E-06,2.79E-05,0.793503445,2.65E-05,0.9933,0.006593289,0.006619792
39,0.793560161,2.67E-05,1,1.04E-06,2.78E-05,0.7935463,2.65E-05,0.9936,0.006614675,0.006641181
40,0.793591773,2.67E-05,1,8.70E-07,2.76E-05,0.793548983,2.65E-05,0.9934,0.006566922,0.006593426
41,0.793607355,2.67E-05,1,7.27E-07,2.75E-05,0.793505742,2.65E-05,0.9933,0.006620849,0.006647353
42,0.793607887,2.67E-05,1,7.03E-07,2.74E-05,0.79352615,2.65E-05,0.9936,0.006598496,0.006625
43,0.793607824,2.67E-05,1,5.52E-07,2.73E-05,0.793508545,2.65E-05,0.9935,0.006640712,0.006667216
44,0.793611586,2.67E-05,1,5.28E-07,2.73E-05,0.793498596,2.65E-05,0.9938,0.00663685,0.006663354
45,0.793573703,2.67E-05,1,4.97E-07,2.72E-05,0.793516835,2.65E-05,0.9934,0.00664065,0.006667154
46,0.793604655,2.67E-05,1,4.06E-07,2.71E-05,0.793521811,2.65E-05,0.9936,0.006657745,0.006684249
47,0.793589966,2.67E-05,1,3.65E-07,2.71E-05,0.793525766,2.65E-05,0.9933,0.006661396,0.006687899
48,0.793604316,2.67E-05,1,3.34E-07,2.71E-05,0.793523978,2.65E-05,0.9935,0.006681193,0.006707696
